Kanji,Word,Meaning,Meaning_FR,Meaning_KR
出,出,"coming out, going out, outflow, efflux, rising (of the sun or moon); attending (work), appearing (on stage), one's turn to go on; start, beginning; origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage); architectural member that projects outward; highest point of the stern of a ship; amount (comprising something), amount of time or effort required to do something","sortir, efflux, se lever (du soleil ou de la lune); assister (travail), apparaissant (sur scène), à son tour de continuer; commencer, en commençant; origines, fond, personne (ou article) originaire de ..., diplômé de ..., natif de ..., membre de ... (lignée); membre de l’architecture qui projette vers l’extérieur; point culminant de la poupe d’un navire; (comprenant quelque chose), le temps ou l’effort requis pour faire quelque chose","나오기, 외출, 유출, 유출, 상승 (태양이나 달의); 참석 (작업), 출연 (무대에서), 하나의 차례에 갈; 시작, 시작; 기원, 배경"
出,演出,"production (e.g. play), direction","production (p. ex. jeu), direction",연출
出,出演,"performance, stage appearance; to act (in a play)","performance, apparition sur scène; d’agir (dans une pièce de théâtre)",출연
出,出席,"attendance, presence, appearance; to attend, to be present, to appear","présence, présence, apparence; d’assister, d’être présent, de comparaître",출석
出,出馬,going on horseback; going in person; running for election,aller à cheval; aller en personne; candidat à l’élection,"출마, 선거에 출마"
三,三,three,Trois,세 가지
三,三つ,three,Trois,세 가지
三,三月,March,Mars,3월
三,三人,three people,trois personnes,3명
三,十三,"13, thirteen","13, treize","13, 13"
三,三十,thirty,Trente,서른
三,三千,3000; many,3000; Nombreux,3000; 많은
三,三百,"300, three hundred; 300 mon, trifling amount, two-bit item; shyster","300, trois cents; 300 mon, quantité insignifiante","300, 삼백; 300 월, 사소한 양"
三,三十日,last day of month,dernier jour du mois,월의 마지막 날
三,三塁,third base,troisième base,3루수
見,意見,"opinion, view","opinion, vue","의견, 보기"
見,会見,"interview, audience","interview, audience","인터뷰, 청중"
見,見直し,"review, reconsideration, revision","examen, réexamen, révision","검토, 재검토, 개정"
見,見方,viewpoint,Vue,관점
見,見通し,"perspective, unobstructed view, outlook, forecast, prospect, insight, foresight, visibility","perspective, vue dégagée, perspectives, prévisions, perspective, perspicacité, prévoyance, visibilité","관점, 예측, 전망, 통찰력, 선견지명, 가시성"
見,見解,"opinion, point of view","opinion, point de vue","의견, 관점"
見,見込み,"forecast, prospects, expectation, hope","prévisions, perspectives, attentes, espoir","예측, 전망, 기대, 희망"
見,発見,"discovery, detection, finding","découverte, détection, constatation","발견, 탐지, 발견"
見,見事,"splendid, magnificent, beautiful, admirable; praiseworthy act, feat, commendable deed","splendide, magnifique, belle, admirable; acte louable, feat, acte louable","화려한, 웅장한, 아름다운, 감탄; 칭찬 할 만한 행동, 위업, 칭찬 할 만한 행동"
見,見つかる,"to be found, to be discovered","à trouver, à découvrir",발견될
月,一月,January,Janvier,1월
月,九月,September,Septembre,9월
月,五月,May,Mai,수
月,今月,this month,ce mois-ci,이번 달
月,三月,March,Mars,월
月,四月,April,Avril,4월
月,七月,July,Juillet,7월
月,十一月,November,Novembre,11월
月,十月,October,Octobre,10월
月,十二月,December,Décembre,12월
生,生きる,"to live, to exist","de vivre, d’exister","살기 위해, 존재하기"
生,学生,student (esp. a university student),étudiant (esp. un étudiant à l’université),학생(대학생)
生,生活,"living, life (one's daily existence), livelihood","la vie, la vie (l’existence quotidienne), les moyens de subsistance","생활, 생계"
生,生産,"production, manufacture","production, fabrication","생산, 제조"
生,厚生省,"Ministry of Health and Welfare (now Ministry of Health, Labour and Welfare)","Ministère de la Santé et du Bien-être social (maintenant ministère de la Santé, du Travail et du Bien-être social)",보건복지부(현 후생노동성)
生,新生,"rebirth, new birth, nascent","renaissance, nouvelle naissance, naissante",새로운 출생
生,人生,(human) life (i.e. conception to death),vie (humaine) (c.-à-d. conception à la mort),(인간) 삶
生,生徒,pupil,Élève,눈동자
生,先生,"teacher, master, doctor; with names of teachers, etc. as an honorific","professeur, maître, médecin; avec les noms des enseignants, etc. comme un honorifique",교사
生,年生,"pupil in ... year, student in ... year","élève en ... année, étudiant en ... Année","... 년, 학생 ... 년"
五,五,five,Cinq,5개
五,五月,May,Mai,5월
五,十五,"15, fifteen","15, quinze",15
五,五輪,the Olympics,les Jeux Olympiques,올림픽
五,五十,fifty,Cinquante,50명
五,五つ,five,Cinq,5개
五,五分,"half, 50%, tie, evenness; 5 parts, 5%","moitié, 50%, égalité, égalité; 5 pièces, 5%",절반%
五,五感,the five senses,les cinq sens,오감
五,五十音,the Japanese syllabary,le syllabaire japonais,일본어 음절
上,上がったり,"doomed, in a bad state, poor (e.g. business)","condamnés, dans un mauvais état, pauvres (p. ex. affaires)","운명, 나쁜 상태에서"
上,史上,historical,Historique,역사적인
上,事実上,"(as a) matter of fact, actually, in reality","(en fait), en fait, en réalité,","사실, 실제로, 현실에서"
上,上げ,"rise in price, making a tuck","hausse des prix, ce qui fait un retour","가격 상승, 턱 만들기"
上,上昇,"rising, ascending, climbing","monter, grimper","상승, 등반"
上,向上,"elevation, rise, improvement, advancement, progress","élévation, élévation, amélioration, avancement, progrès","고도, 상승, 개선, 발전, 진행"
上,上がり,"ascent, rise, slope; freshly-drawn green tea (esp. in sushi shops); advance income, crop yield; death, spinning, completion, stop, finish; after (rain), ex (official, etc.); (end) results (e.g. of crafts like painting, pottery, etc.), how something comes out","ascension, élévation, pente; thé vert fraîchement dessiné (esp. dans les magasins de sushi); revenu anticipé, rendement des cultures; mort, filature, achèvement, arrêt, finition; après (pluie), ex (officiel, etc.); (fin) résultats (p. ex. de l’artisanat comme la peinture, la poterie, etc.), comment quelque chose sort","수확, 오름; 오른 것"
上,上位,superior (rank not class); higher order (e.g. byte); host computer (of connected device),supérieur (rang et non classe); ordre plus élevé (par exemple byte); ordinateur hôte (de l’appareil connecté),상위
上,地上,above ground,au-dessus du sol,지상
上,途上国,developing country,pays en développement,개발도상국
四,四,four,Quatre,4개
四,四つ,four,Quatre,4개
四,四月,April,Avril,4월
四,十四,"14, fourteen","14, quatorze",14
四,四十,forty,Quarante,40
四,四百,four hundred,quatre cents,사백
四,四球,"four balls, base on balls (baseball), a walk","quatre balles, base sur balles (baseball), une promenade","4 구, 베이스 온 볼, 산책"
四,四千,four thousand,quatre mille,사천
四,四半期,quarter (of a year),trimestre (d’un an),분기(1년)
金,お金,money,Argent,돈
金,金融,"financing, credit transacting, loaning of money, circulation of money","financement, transactions de crédit, prêt d’argent, circulation de l’argent","금융, 신용 거래, 돈 대출, 자금 순환"
金,金利,interest rates,taux d’intérêt,금리
金,献金,"donation, contribution, offering","don, contribution, offre",기부
金,資金,"funds, capital","fonds, capital","자금, 자본"
金,基金,"fund, foundation","fonds, fondation","기금, 재단"
金,年金,"annuity, pension","rente, pension",연금
金,料金,"fee, charge, fare","frais, frais, tarif","수수료, 요금, 운임"
金,金額,amount of money,montant d’argent,금액
金,金融機関,"financial institutions, banking facilities","institutions financières, facilités bancaires","금융 기관, 은행 시설"
九,九,nine,Neuf,아홉 명
九,九月,September,Septembre,9월
九,十九,"19, nineteen","19, dix-neuf",19
九,九州,Kyushu (southernmost of the four main islands of Japan),Kyushu (la plus méridionale des quatre îles principales du Japon),규슈(일본 4대 섬 최남단)
九,九十,ninety,Quatre-vingt-dix,90명
九,九九,"multiplication table, times table","table de multiplication, table de temps","곱셈 테이블, 시간 표"
九,九つ,nine,Neuf,아홉 명
九,一一九番,ambulance and fire brigade emergency tel. no. (in Japan),ambulance et pompiers d’urgence tél. no. (au Japon),구급차 및 소방대 응급 전화 번호 (일본)
九,千九百年代,the 1900s,les années 1900,1900년대
九,九重,"ninefold, imperial palace, the Court","neuf fois, palais impérial, la Cour","아홉, 황궁, 법원"
入,入り,"entering; setting (of the sun); containing, content, audience; income; beginning","entrer; se coucher (du soleil); contenant, contenu, audience; revenu; Début","들어감, 수입, 손님의 수; 입장자 수"
入,輸入,"importation, import, introduction","importation, importer, introduction",수입
入,購入,"purchase, buy",acheter,구매
入,収入,"income, receipts, revenue","revenus, recettes, revenus","수입, 영수증, 수익"
入,導入,"introduction, bringing in, leading in, installation","l’introduction, l’introduction, la direction, l’installation","소개, 도입, 선도, 설치"
入,介入,intervention,Intervention,개입
入,受け入れ,"receiving, acceptance","réception, acceptation","수령, 수락"
入,入札,"bid, bidding","offre, enchérir","입찰, 입찰"
入,加入,"becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing","devenir membre, rejoindre, entrée, admission, abonnement, affiliation, adhésion,","회원 가입, 입학, 입학, 가입, 소속, 준수, 서명"
入,参入,"coming, visiting, going","venir, visiter, aller","오고, 방문, 가기"
学,学校,school,École,학교
学,学生,student (esp. a university student),étudiant (esp. un étudiant à l’université),학생(대학생)
学,大学,"post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books","établissement d’enseignement postsecondaire, université, collège, etc.; le Grand Apprentissage - l’un des quatre livres","대학, 대학 등을 포함, 고등 교육 기관; 위대한 배움 - 네 권의 책 중 하나"
学,医学,"medical science, medicine","sciences médicales, médecine","의학, 의학"
学,科学,science,Science,과학
学,学部,"department of a university; undergraduate (course, program, etc.)","département d’une université; de premier cycle (cours, programme, etc.)","대학의 학과; 학부(과정, 프로그램 등)"
学,文学,literature,Littérature,문학
学,学,"learning, scholarship, erudition, knowledge","l’apprentissage, l’érudition, l’érudition, la connaissance","학습, 장학금, 학식, 지식"
学,学園,"academy, campus","académie, campus","아카데미, 캠퍼스"
学,学者,scholar,Érudit,학자
円,円,"Yen, money; circle","Yen, argent; Cercle","엔화, 돈; 서클"
円,円高,"high-valued yen, exchange in favor (favour) of the yen","yen à forte valeur élevée, échange en faveur (faveur) du yen","고가엔, 엔화의 호의(호의)"
円,円安,cheap yen,yen bon marché,저렴한 엔
円,円相場,yen exchange rate,taux de change du yen,엔 환율
円,一円,"whole district, one yen, throughout","district entier, un yen, tout au long","1엔,"
円,円滑,"smooth, undisturbed, uninterrupted, harmonious","lisse, non perturbé, ininterrompu, harmonieux",원할
円,円形,"round shape, circle; circular form","forme ronde, cercle; forme circulaire","둥근 모양, 원; 원형 형태"
円,円卓,round table,table ronde,라운드 테이블
円,円満,"perfection, harmony, peace, smoothness, completeness, satisfaction, integrity","la perfection, l’harmonie, la paix, la douceur, l’exhaustivité, la satisfaction, l’intégrité","완벽, 조화, 평화, 부드러움, 완전성, 만족, 무결성"
円,円筒,cylinder,Cylindre,실린더
子,子,"child; young (animal); young woman, young geisha; offshoot; interest; new shares; bird egg; (after a noun or -masu stem) -er (often of young women)","enfant; jeunes (animaux); jeune femme, jeune geisha; ramification; intérêt; de nouvelles actions; oeuf d’oiseau; (après un nom ou une tige -masu) -er (souvent de jeunes femmes)","아이; 어린 (동물); 젊은 여자, 젊은 게이샤"
子,子供,"child, children","enfant, enfants",어린이
子,女子,"woman, girl","femme, fille","여자, 소녀"
子,男子,"youth, young man","jeunes, jeune homme","청소년, 청년"
子,原子力,atomic energy,l’énergie atomique,원자력
子,様子,"aspect, state, appearance","aspect, état, apparence","종횡, 상태, 외관"
子,息子,son; penis,fils; Pénis,아들; 음 경
子,金子,"money, funds","argent, fonds","돈, 자금"
子,甲子,first of the sexagenary cycle,premier du cycle sexagénaire,첫 번째 섹스 주기
子,遺伝子,"gene, genetic","gène, génétique","유전자, 유전"
八,八,eight,Huit,8개
八,十八,"18, eighteen","18, dix-huit",18
八,八月,August,Août,8월
八,八十,eighty,Quatre-vingts,80개
八,三十八度線,the Thirty-eighth Parallel,le Trente-huitième Parallèle,서른 여덟 번째 병렬
八,百八十度,"180 degrees, complete change","180 degrés, changement complet","180도, 완전 변경"
八,八幡,Hachiman (God of War); Hachiman shrine; certainly,Hachiman (Dieu de la guerre); Sanctuaire Hachiman; Certainement,하치만 (전쟁의 신); 하치만 신사; 확실히
八,十八番,"No. 18, eighteenth; repertoire of 18 kabuki plays; one's favourite stunt (favorite), one's specialty","No 18, dix-huitième; répertoire de 18 pièces de kabuki; sa cascade préférée (favorite), sa spécialité","제18호, 18번; 18 가부키 연극의 레퍼토리; 좋아하는 스턴트 (좋아하는), 자신의 전문"
八,八重,"multilayered, doubled","multicouches, doublées","다층, 두 배"
八,八分音符,8th note,8e note,8번째 주
六,六,six,Six,6개
六,六月,June,Juin,6월
六,六十,sixty,Soixante,60세
六,六十四分音符,64th note,64e note,64번째 주
六,十六,"16, sixteen","16, seize",16
六,六角,hexagon,Hexagone,육각
六,四六時中,"around the clock, day and night (Note: 4 x 6 = 24)","24 heures sur 24, jour et nuit (Note: 4 x 6 -24)","시계 주위, 낮과 밤 (참고: 4 x 6 = 24)"
六,六つ,six,Six,6개
六,一六銀行,pawnshop,Mont-de-piété,전당포
六,一六勝負,"gambling, speculation","jeu, spéculation","도박, 추측"
下,下,under (esp. influence or guidance),sous (esp. influence ou orientation),아래
下,下げる,"to hang, to lower, to move back, to wear, to dismiss, to grant","de pendre, de baisser, de reculer, de porter, de congédier, d’accorder","내리다, 낮추다, 숙이다"
下,引き下げ,"reduction, cut","réduction, coupe","감소, 절단"
下,下り,"down-train (going away from Tokyo); down-slope, downward going","train en bas (s’éloigner de Tokyo); descente, vers le bas va",내려감
下,下院,"lower house, lower (legislative) body","chambre basse, organe inférieur (législatif)","하원, 하부 (입법) 몸"
下,下車,"alighting (from train, bus, etc.), getting off","descendre (du train, bus, etc.), descendre","하차(기차, 버스 등에서), 하차"
下,地下,"basement, cellar, underground place; underground, below ground; secret, under cover; underground (railway), subway, metro","sous-sol, cave, lieu souterrain; sous terre, secret, sous couverture; métro (chemin de fer)","지하실, 지하실, 지하 장소; 지하, 지하; 비밀, 덮개 아래"
下,低下,"fall, decline, lowering, deterioration, degradation","baisse, déclin, abaissement, détérioration, dégradation","가을, 하락, 하강, 열화, 저하"
下,以下,"not exceeding, and downward, ... and below; below (e.g. standard), under (e.g. a level); the below-mentioned, the following, the rest","ne dépassant pas, et vers le bas, ... et en dessous; ci-dessous (p. ex. norme), en vertu (p. ex. un niveau); le ci-dessous mentionné, ce qui suit, le reste",이하
下,殿下,"your Highness, his (or her) Highness","votre Altesse, son (ou son) Altesse",전하
気,気,"spirit, mind, heart; nature, disposition; motivation, intention; mood, feelings; atmosphere, essence","esprit, esprit, cœur; nature, disposition; motivation, intention; humeur, sentiments; atmosphère, essence","정신, 마음, 마음; 자연, 성향; 동기 부여, 의도; 기분, 감정; 분위기, 에센스"
気,景気,"condition, state, business (condition)","état, affaires (condition)","상태, 비즈니스 (조건)"
気,人気,"popular, popular feeling, business conditions","populaire, sentiment populaire, conditions d’affaires","인기, 인기 느낌, 비즈니스 조건"
気,気持ち,"feeling, sensation, mood","sensation, humeur","느낌, 감각, 기분"
気,電気,electricity; (electric) light,l’électricité; lumière (électrique),전기; (전기) 조명
気,病気,"illness, disease, sickness",maladie,질병
気,一気,drink! (said repeatedly as a party cheer),Boire! (dit à plusieurs reprises comme une acclamation partie),음료!
気,気分,"feeling, mood","sentiment, humeur","느낌, 기분"
気,空気,"air, atmosphere","air, atmosphère","공기, 분위기"
気,雰囲気,"atmosphere (e.g. musical), mood, ambience, ambiance","atmosphère (p. ex. musique), humeur, ambiance, ambiance","분위기(예: 뮤지컬), 분위기, 분위기, 분위기"
小,小選挙区,"small electoral district, single-member constituency","petite circonscription, circonscription uninominale","작은 선거구, 1인 선거구"
小,小学校,"primary school, elementary school, grade school",l’école primaire,초등학교
小,小説,"novel, (short) story","roman, (courte) histoire","소설, (단편) 이야기"
小,小学生,"elementary school student, primary school student",élève de l’école primaire,초등학생
小,中小企業,"small to medium enterprises, smaller companies","petites et moyennes entreprises, petites entreprises",중소기업
小,小学,"elementary school, primary school, grade school",école primaire,초등학교
小,小型,"small size, tiny","petite taille, minuscule","작은 크기, 작은"
小,縮小,"reduction, curtailment","réduction, réduction","감소, 축소"
小,小川,"streamlet, brook","streamlet, ruisseau",작은 시내
小,小島,"small island, islet","petite île, îlot","작은 섬, 섬"
七,七,seven,Sept,일곱 개
七,七月,July,Juillet,7월
七,十七,"17, seventeen","17, dix-sept",17
七,七十,seventy,Soixante-dix,70명
七,七つ,seven,Sept,일곱 개
七,七七日,49th day after death,49e jour après la mort,사후 49일째
七,二七日,second week's memorial services,services commémoratifs de la deuxième semaine,둘째 주 추도식
七,七夕,"Festival of the Weaver (July 7th), Star Festival","Festival of the Weaver (7 juillet), Star Festival","위버 축제(7월 7일), 스타 페스티벌"
七,七回忌,seventh anniversary of a death,septième anniversaire d’un décès,사망 7주년
山,山,"mountain; pile, heap; climax, critical point; speculated area covered by an examination","montagne; pile, tas; point culminant, point critique; zone spéculée couverte par un examen","산; 더미, 힙; 클라이맥스, 임계점; 심사대상 투기지역"
山,火山,volcano,Volcan,화산
山,青山,"blue or green mountain; grave, burial place","montagne bleue ou verte; tombe, lieu de sépulture",파란색 또는 녹색 산; 무덤·묘지
山,山形,mountain-shaped,en forme de montagne,산 모양
山,登山,mountain climbing,Escalade,등산
山,山岳,mountains,Montagnes,산
山,小山,"hill, knoll","colline, knoll",언덕
山,富士山,Mt Fuji,Mt Fuji,후지산
山,大山,great mountain,grande montagne,좋은 산
山,山村,mountain village,village de montagne,산악 마을
女,女,woman,Femme,여자
女,女子,"woman, girl","femme, fille","여자, 소녀"
女,女性,"woman, female; feminine gender","femme, femme; genre féminin","여자, 여성; 여성 성별"
女,男女,"man and woman, men and women",homme et femme,남자와 여자
女,彼女,"she, her; girl friend, girlfriend, sweetheart","elle, amie, petite amie, chérie","그녀, 여자 친구, 연인"
女,女優,actress,Actrice,여배우
女,長女,eldest daughter,fille aînée,장녀
女,少女,"young lady, little girl, virgin, maiden, daughter","jeune femme, petite fille, vierge, jeune fille, fille","젊은 아가씨, 어린 소녀, 처녀, 딸"
女,女子大,"women's college, women's university","collège pour femmes, université des femmes",여자대학
女,女の子,girl,Fille,소녀
百,百,"100, hundred","100, cent","100, 백"
百,二百,"two hundred, 200","deux cents, 200","이백, 200"
百,三百,"300, three hundred; 300 mon, trifling amount, two-bit item; shyster","300, trois cents; 300 mon, quantité insignifiante, article à deux bits; Escroc","300, 삼백; 300 월, 사소한 양, 2 비트 항목; 수줍은"
百,百貨店,(department) store(s),(department) magasin(s),(백화점) 점포
百,百万,"1,000,000, one million; many","1 000 000, un million; Nombreux","1,000,000, 백만; 많은"
百,四百,four hundred,quatre cents,사백
百,百億,"10,000,000,000, ten billion (American), (obs) ten milliard (British)","10 000 000 000, dix milliards (américains), (obs) dix milliards (britanniques)","10,000,000,000, 100억(미국), (obs) 10밀리어드(영국)"
百,数百,several hundreds,plusieurs centaines,수백 명
百,百八十度,"180 degrees, complete change","180 degrés, changement complet","180도, 완전 변경"
百,百合,"lily, Lilium; comics and novels about female homosexuality","lis, Lilium; bandes dessinées et romans sur l’homosexualité féminine",백합
先,先に,"before, earlier than, ahead, beyond, away, previously, recently","avant, plus tôt que, à l’avance, au-delà, loin, précédemment, récemment","이전, 앞으로, 넘어, 멀리, 이전에, 최근"
先,先月,last month,le mois dernier,지난 달
先,先進国,"advanced (developed) country, advanced nations","pays avancé (développé), les nations avancées",선진국(선진국)
